"EEA_Region";"EEA_SubRegion";"CNTR_ID";"SpatialAssessmentUnit";"SAU_Name";"Location";"Group";"SpeciesGroup";"Species";"SppID";"Indicator";"Category";"Source";"Threshold";"Status";"Bad";"Reference";"EQR"
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N18";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N18";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N19";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N19";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N20";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N20";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N21";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N21";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N21";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N21";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N22";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N22";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N22";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N22";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Black-Bellied Anglerfish (Lophius Budegassa)";24;"F - Black-bellied anglerfish (Lophius budegassa)";"Fish";"ICES";1;0.4507;2.41;0;0.81972
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"F - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";0.11;0.07735548;0.15;0;0.718707345454545
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"F - Mackerel (Scomber scombrus)";"Fish";"ICES";0.21;0.322;0.52;0;0.383225806451613
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"White Anglerfish (Lophius Piscatorius)";25;"F - White anglerfish (Lophius piscatorius)";"Fish";"ICES";0.31;0.21;1.58;0;0.729032258064516
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Black-Bellied Anglerfish (Lophius Budegassa)";24;"SSB - Black-bellied anglerfish (Lophius budegassa)";"Fish";"ICES";0.5;1.204;0;1.37;0.92367816091954
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"SSB - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";181000;490476;0;788207;0.803868532477392
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"SSB - Mackerel (Scomber scombrus)";"Fish";"ICES";2570000;3443926;0;8383104;0.660134895229812
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"White Anglerfish (Lophius Piscatorius)";25;"SSB - White anglerfish (Lophius piscatorius)";"Fish";"ICES";5400;8690;0;12915.3;0.775109443402126
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N16";"Region 4";"L2.4.1";"Benthic Habitats";"Benthic Status";"";;"Benthic status";"Benthic status";"OSPAR";15;21.9096178778922;0;100;0.63251584883714
"NE Atlantic";"Macaronesia";;"100kmE18N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Macaronesia";;"100kmE18N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Macaronesia";;"100kmE19N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Macaronesia";;"100kmE19N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Macaronesia";;"100kmE20N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Macaronesia";;"100kmE20N18";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Macaronesia";;"100kmE21N17";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Macaronesia";;"100kmE21N17";"27.9.b.1";"27.9.b.1";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N17";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE23N17";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Benthic Habitats";"Commercial Fish";"Norway Lobster (Nephrops Norvegicus)";4810;"SSB - Norway lobster (Nephrops norvegicus)";"Benthos";"ICES";580;1946;0;2470;0.889100529100529
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Benthic Habitats";"Commercial Fish";"Norway Lobster (Nephrops Norvegicus)";4810;"SSB - Norway lobster (Nephrops norvegicus)";"Benthos";"ICES";1020;1384;0;3031;0.672401790154152
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Benthic Habitats";"Commercial Fish";"Norway Lobster (Nephrops Norvegicus)";4810;"SSB - Norway lobster (Nephrops norvegicus)";"Benthos";"ICES";1020;2118;0;3031;0.818398806563899
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Boarfish (Capros Aper)";36;"F - Boarfish (Capros aper)";"Fish";"ICES";1;0.609304191;13.66;0;0.7562783236
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Cod (Gadus Morhua)";11;"F - Cod (Gadus morhua)";"Fish";"ICES";0.16;0.94435568712046;1.33;0;0.1977663142972
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Greenland Halibut (Reinhardtius Hippoglossoides)";66;"F - Greenland halibut (Reinhardtius hippoglossoides)";"Fish";"ICES";1;1.103;4.23;0;0.580866873065015
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Haddock (Melanogrammus Aeglefinus)";12;"F - Haddock (Melanogrammus aeglefinus)";"Fish";"ICES";0.19;0.284;1.08;0;0.536629213483146
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Haddock (Melanogrammus Aeglefinus)";12;"F - Haddock (Melanogrammus aeglefinus)";"Fish";"ICES";0.19;0.303;1.08;0;0.523820224719101
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Hake (Merluccius Merluccius)";22;"F - Hake (Merluccius merluccius)";"Fish";"ICES";0.28;0.27;1.17;0;0.614285714285714
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Herring (Clupea Harengus)";5;"F - Herring (Clupea harengus)";"Fish";"ICES";0.16;0.0490017140926841;0.62;0;0.87749571476829
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"F - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";0.1;0.08940666;0.24;0;0.64237336
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"F - Mackerel (Scomber scombrus)";"Fish";"ICES";0.21;0.322;0.52;0;0.383225806451613
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Megrim (Lepidorhombus Spp.)";4808;"F - Megrim (Lepidorhombus spp.)";"Fish";"ICES";1;0.347979296625118;2.04;0;0.860808281349953
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Saithe (Pollachius Virens)";15;"F - Saithe (Pollachius virens)";"Fish";"ICES";0.36;0.282;0.86;0;0.686666666666667
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Boarfish (Capros Aper)";36;"SSB - Boarfish (Capros aper)";"Fish";"ICES";0.5;1.957999;0;10.09;0.66081330552659
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Cod (Gadus Morhua)";11;"SSB - Cod (Gadus morhua)";"Fish";"ICES";20000;2483.46065333841;0;42042.86;0.0745038196001523
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Greenland Halibut (Reinhardtius Hippoglossoides)";66;"SSB - Greenland halibut (Reinhardtius hippoglossoides)";"Fish";"ICES";0.5;0.7283;0;2.11;0.65672049689441
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Haddock (Melanogrammus Aeglefinus)";12;"SSB - Haddock (Melanogrammus aeglefinus)";"Fish";"ICES";132000;248592;0;591936;0.701398455437278
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Hake (Merluccius Merluccius)";22;"SSB - Hake (Merluccius merluccius)";"Fish";"ICES";45000;265666;0;345570.48;0.893662903955172
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Herring (Clupea Harengus)";5;"SSB - Herring (Clupea harengus)";"Fish";"ICES";410000;132340;0;1073198.92;0.193668292682927
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"SSB - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";911588;781836;0;5508819.72;0.514598261495325
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"SSB - Mackerel (Scomber scombrus)";"Fish";"ICES";2570000;3443926;0;8383104;0.660134895229812
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Megrim (Lepidorhombus Spp.)";4808;"SSB - Megrim (Lepidorhombus spp.)";"Fish";"ICES";0.5;1.66766463619083;0;3.7;0.745958079523854
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"27.6.a";"27.6.a";"Fish";"Commercial Fish";"Saithe (Pollachius Virens)";15;"SSB - Saithe (Pollachius virens)";"Fish";"ICES";150000;257329;0;687561;0.679863680586947
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Northern Celtic Sea";"L2.3.2";"Benthic Habitats";"Benthic Status";"";;"Benthic status";"Benthic status";"OSPAR";15;30.6542671743237;0;100;0.673667139643876
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Wading Feeders, Non-Breeding";"";;"Abundance wading feeders, Non-breeding";"Birds";"OSPAR";0.75;0.47;0;1;0.376
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"All, Both";"";;"Bird Abundance All, Both";"Birds";"OSPAR";0.75;0.55;0;1;0.44
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Benthic Feeders, Breeding";"";;"Bird Abundance benthic feeders, Breeding";"Birds";"OSPAR";0.75;0.86;0;1;0.776
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Benthic Feeders, Non-Breeding";"";;"Bird Abundance benthic feeders, Non-breeding";"Birds";"OSPAR";0.75;0.5;0;1;0.4
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Grazing Feeders, Non-Breeding";"";;"Bird Abundance grazing feeders, Non-breeding";"Birds";"OSPAR";0.75;0.62;0;1;0.496
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Surface Feeders, Breeding";"";;"Bird Abundance surface feeders, Breeding";"Birds";"OSPAR";0.75;0.5;0;1;0.4
"NE Atlantic";"Celtic Seas";;"20kmE330N406";"Region III";"";"Birds";"Surface Feeders, Non-Breeding";"";;"Bird Abundance surface feeders, Non-breeding";"Birds";"OSPAR";0.75;1;0;1;1
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Black-Bellied Anglerfish (Lophius Budegassa)";24;"F - Black-bellied anglerfish (Lophius budegassa)";"Fish";"ICES";1;0.4507;2.41;0;0.81972
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"F - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";0.11;0.07735548;0.15;0;0.718707345454545
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"F - Mackerel (Scomber scombrus)";"Fish";"ICES";0.21;0.322;0.52;0;0.383225806451613
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"White Anglerfish (Lophius Piscatorius)";25;"F - White anglerfish (Lophius piscatorius)";"Fish";"ICES";0.31;0.21;1.58;0;0.729032258064516
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Black-Bellied Anglerfish (Lophius Budegassa)";24;"SSB - Black-bellied anglerfish (Lophius budegassa)";"Fish";"ICES";0.5;1.204;0;1.37;0.92367816091954
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"SSB - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";181000;490476;0;788207;0.803868532477392
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Mackerel (Scomber Scombrus)";50;"SSB - Mackerel (Scomber scombrus)";"Fish";"ICES";2570000;3443926;0;8383104;0.660134895229812
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"White Anglerfish (Lophius Piscatorius)";25;"SSB - White anglerfish (Lophius piscatorius)";"Fish";"ICES";5400;8690;0;12915.3;0.775109443402126
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"27.9.b.2";"27.9.b.2";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"SSB - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";2250000;5906696;0;9666741;0.797213088605898
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N17";"Region 4";"L2.4.1";"Benthic Habitats";"Benthic Status";"";;"Benthic status";"Benthic status";"OSPAR";15;21.9096178778922;0;100;0.63251584883714
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N18";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Black-Bellied Anglerfish (Lophius Budegassa)";24;"F - Black-bellied anglerfish (Lophius budegassa)";"Fish";"ICES";1;0.4507;2.41;0;0.81972
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N18";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Blue Whiting (Micromesistius Poutassou)";14;"F - Blue whiting (Micromesistius poutassou)";"Fish";"ICES";0.32;0.402;0.7;0;0.470526315789474
"NE Atlantic";"Bay of Biscay and the Iberian Coast";;"100kmE24N18";"27.9.a";"27.9.a";"Fish";"Commercial Fish";"Horse Mackerel (Trachurus Trachurus)";38;"F - Horse mackerel (Trachurus trachurus)";"Fish";"ICES";0.11;0.07735548;0.15;0;0.718707345454545
